State Abbreviation,Percent Uninsured,Percent of Medicare Enrollees with at Least One Primary Care Visit,Percent Black,Percent Hispanic,Mean Household Income,Median House Value,Percent College Grads
ME,12.209545279359615,77.95355606685126,0.5051285509969778,0.7341619925617546,35742.77325695982,134606.5399725317,12.209545279359615
MI,14.456146755221825,81.13423339440583,14.10730875885464,3.258830093906366,40734.49985437791,155216.1968707375,14.456146755221825
MN,10.467758919852143,76.95867556015139,3.4315218831113414,2.9145769055294877,42290.350779659195,158053.31778639567,10.467758919852143
MO,15.418249515503884,80.2278700049151,11.182187857980853,2.119526884570903,36909.903814097095,118212.48655312552,15.418249515503884
MS,21.14073813186576,82.51701006742012,36.15453940007164,1.3909932247997128,29354.051962260142,94744.4172732188,21.14073813186576
MT,20.88420672189383,79.16983108514873,0.28087054024821584,2.004112239252911,31610.36688585505,135671.99341539244,20.88420672189383
NC,19.2892130461581,84.1303384406843,21.409292907948394,4.708016635473962,36206.948749294505,146106.2127602815,19.2892130461581
ND,11.583083090681564,83.90339517428303,0.5856431256038275,1.2123948790265024,33032.14036414201,98148.92222064777,11.583083090681564
NE,13.58599784847841,84.03550964292813,3.9466172048071084,5.5178544325439,36607.39858686422,115207.19582875338,13.58599784847841
NH,13.05188843061501,76.42838158532732,0.6760070332328172,1.657973147676135,42968.795427815174,175324.62545489267,13.05188843061501
NJ,15.040844408288471,71.85509375416356,13.027399870225745,13.277210926080672,49778.10676343092,239229.44480426886,15.040844408288471
NM,22.76895488383329,76.19987052631627,1.6851689898131657,42.0762320605081,31969.900668068865,141919.86204400545,22.76895488383329
NV,25.03911772065505,72.71114766248212,6.581185395377378,19.71568163600012,39394.56409703557,189022.26764935636,25.03911772065505
NY,13.671804435176691,71.56522516117829,14.821644467741834,15.111266759532706,42318.70315893574,318112.4557782643,13.671804435176691
OH,14.425288171246667,78.94453394531295,11.36832654183976,1.9124489139295213,38849.05107656015,140513.3353221135,14.425288171246667
OK,22.00077561735398,79.3038029436282,7.476292864475232,5.196232465530911,32455.363864539868,92962.9567988271,22.00077561735398
OR,19.83140496356929,76.23037799261543,1.558572935636436,8.046825130370559,37859.24638408527,199144.52132639315,19.83140496356929
PA,12.068037344841628,77.37317975727365,9.790991776141698,3.2089101968753297,38974.868064693466,133895.89289276797,12.068037344841628
RI,13.809575878925212,79.84856165942703,3.998973790672724,8.663393306712555,39847.800013470136,176365.8496988989,13.809575878925212
SC,20.31356762389619,84.86988463038048,29.37394040172068,2.369783506941385,33942.897311290435,131815.01566201696,20.31356762389619
SD,14.242918051433003,80.83084563561016,0.6044957553032575,1.4444044266191716,33227.82707765181,99277.49383978677,14.242918051433003
TN,16.698490001057888,81.53909831900064,16.314955744314414,2.1766890455025685,34950.962010233976,126330.47610345625,16.698490001057888
TX,26.63797608511477,77.41176489703797,11.338362713427,31.986014170237205,35531.63450337748,111544.55761823656,26.63797608511477
UT,16.806656647453014,78.84583282959223,0.7226054281149709,9.02569368566647,34114.7206541462,196189.38193464084,16.806656647453014
VA,15.07326883705176,80.43279706445975,19.44444570567393,4.6554962526320125,42040.469728119664,179628.41949605243,15.07326883705176
VT,9.727981088740806,77.53868273624111,0.4797750426161783,0.9040335003941841,36921.60130396812,147719.6261883918,9.727981088740806
WA,16.136017886988576,78.53988676695936,3.1324603609628734,7.4906674709274546,40984.48609501859,229136.59469585028,16.136017886988576
WI,10.895565813618143,79.39043729022488,5.597747835194045,3.59680618794313,39105.51452069934,148011.63341587622,10.895565813618143
WV,17.47039539758254,79.8821515089957,3.142377771641295,0.6790190485087294,30174.49255962914,96859.57394870665,17.47039539758254
WY,17.466140226553417,74.0969119979653,0.7096249036333989,6.413559100728842,34308.449903544475,141455.4581987598,17.466140226553417
