State,Zip,Latitude,Longitude,IMU Score
AL,1073.0,33.463730942,-86.77625338899999,57.6
AL,1073.0,33.463730942,-86.77625338899999,57.4
AL,1073.0,33.504048154,-86.8051591399999,57.6
AL,1073.0,33.504048154,-86.8051591399999,57.4
AL,1073.0,33.469115849,-86.78833498899999,57.6
AL,1073.0,33.469115849,-86.78833498899999,57.4
AL,1073.0,33.5488342840001,-86.730183296,57.6
AL,1073.0,33.5488342840001,-86.730183296,57.4
AL,1073.0,33.464103937000104,-86.777332621,57.6
AL,1073.0,33.464103937000104,-86.777332621,57.4
AL,1073.0,33.507477169,-86.789121531,57.6
AL,1073.0,33.507477169,-86.789121531,57.4
AL,1073.0,33.596154515,-86.6676110189999,57.6
AL,1073.0,33.596154515,-86.6676110189999,57.4
AL,1073.0,33.505603291999996,-86.80203539699991,57.6
AL,1073.0,33.505603291999996,-86.80203539699991,57.4
AL,1073.0,33.3734044770001,-86.993289749,57.6
AL,1073.0,33.3734044770001,-86.993289749,57.4
AL,1073.0,33.498006532,-86.84718777599991,57.6
AL,1073.0,33.498006532,-86.84718777599991,57.4
AL,1073.0,33.43293355,-86.71744146399999,57.6
AL,1073.0,33.43293355,-86.71744146399999,57.4
AL,1073.0,33.5040061030001,-86.802891909,57.6
AL,1073.0,33.5040061030001,-86.802891909,57.4
AL,1073.0,33.5170941760001,-86.74944290799989,57.6
AL,1073.0,33.5170941760001,-86.74944290799989,57.4
AL,1131.0,31.9975251480001,-87.300257836,51.3
AL,1107.0,33.2744756700001,-88.0886357479999,58.7
AL,1007.0,32.9513583660001,-87.1483112339999,47.7
AL,1129.0,31.459538148000004,-88.23507989299999,32.3
AL,1091.0,32.504788530999996,-87.8363988,54.8
AL,1035.0,31.430798572000104,-86.940483587,51.2
AL,1057.0,33.70817814,-87.82468898199991,58.2
AL,1057.0,33.70817814,-87.82468898199991,47.9
AL,1061.0,31.048793989,-85.892536692,57.1
AL,1065.0,32.695372236,-87.586934194,55.1
AL,1089.0,34.693611397,-86.572171543,58.1
AL,1089.0,34.693611397,-86.572171543,54.5
AL,1089.0,34.75317024,-86.66569635399999,58.1
AL,1089.0,34.75317024,-86.66569635399999,54.5
AL,1089.0,34.6962142020001,-86.66023088700001,58.1
AL,1089.0,34.6962142020001,-86.66023088700001,54.5
AL,1089.0,34.721433099,-86.580805509,58.1
AL,1089.0,34.721433099,-86.580805509,54.5
AL,1089.0,34.7200515170001,-86.57468869899999,58.1
AL,1089.0,34.7200515170001,-86.57468869899999,54.5
AL,1089.0,34.7192094280001,-86.579868865,58.1
AL,1089.0,34.7192094280001,-86.579868865,54.5
AL,1089.0,34.747060043000005,-86.764527877,58.1
AL,1089.0,34.747060043000005,-86.764527877,54.5
AL,1039.0,31.291958238000102,-86.25452692299999,54.8
AL,1039.0,31.295795325,-86.494549112,54.8
AL,1039.0,31.000485414,-86.313137967,54.8
AL,1115.0,33.605110768,-86.27746910199991,42.1
AL,1059.0,34.458105759,-88.14732506199991,59.1
AL,1059.0,34.5108181190001,-87.71838606700001,59.1
AL,1071.0,34.6620379330001,-86.047490796,53.9
AL,1047.0,32.4294652130001,-87.055973046,50.8
AL,1121.0,33.164560226,-86.25548758199992,45.2
AL,1121.0,33.4402768210001,-86.0907833959999,45.2
AL,1087.0,32.445218316,-85.712148611,28.1
AL,1051.0,32.552266972,-86.1863964459999,48.1
AL,1051.0,32.533909832000106,-85.912246613,48.1
AL,1119.0,32.4919942220001,-88.295523761,40.3
NC,37013.0,34.26075781,-78.063713706,46.0
NC,37013.0,35.5492219080001,-77.037838049,46.0
NC,37013.0,35.537850371,-76.62331912399999,46.0
NC,37085.0,35.3273632470001,-78.66980288799991,47.9
NC,37085.0,35.307032736000096,-78.63466618,47.9
NC,37087.0,35.5253812770001,-82.9425088839999,53.2
NC,37107.0,35.290340626,-77.58328281199991,53.6
NC,37119.0,35.0920121830001,-80.871618187,52.0
NC,37119.0,35.306757427,-80.74704794199991,52.0
NC,37119.0,35.1208566970001,-80.8716039179999,52.0
NC,37119.0,35.203899886,-80.838901796,52.0
NC,37119.0,35.1920501700001,-80.803893976,52.0
NC,37119.0,35.2118381920001,-80.82416444099991,52.0
NC,37119.0,35.406444182,-80.860260895,52.0
NC,37119.0,35.119984808000005,-80.714078413,52.0
NC,37119.0,35.210797600999996,-80.823521516,52.0
NC,37119.0,35.210155172,-80.8210290919999,52.0
NC,37119.0,35.201884954,-80.83871782199999,52.0
NC,37119.0,35.306757427,-80.74772608800001,52.0
NC,37119.0,35.090827211,-80.871225576,52.0
IN,18157.0,40.4046309500001,-86.83003268600001,47.0
IN,18157.0,40.3940202320001,-86.834549059,47.0
IN,18157.0,40.400530442,-86.806373219,47.0
IN,18157.0,40.459714696,-86.89388199,47.0
IN,18157.0,40.4066718,-86.82744646399999,47.0
IN,18157.0,40.4272035770001,-86.879435566,47.0
IN,18157.0,40.427286859,-86.88144621100001,47.0
IN,18077.0,38.792507239,-85.3642979649999,54.6
IN,18077.0,38.746061514000104,-85.401992921,54.6
IN,18077.0,38.73870715,-85.38135108599991,54.6
IN,18035.0,40.196783483000004,-85.41481236199999,57.8
IN,18035.0,40.196783483000004,-85.41481236199999,56.78
IN,18035.0,40.1967418420001,-85.413991448,57.8
IN,18035.0,40.1967418420001,-85.413991448,56.78
IN,18035.0,40.196777534,-85.415555943,57.8
IN,18035.0,40.196777534,-85.415555943,56.78
IN,18177.0,39.864710013,-84.884284517,58.5
IN,18177.0,39.838912646,-84.9257137549999,58.5
IN,18177.0,39.8452419130001,-84.88634451600001,58.5
IN,18017.0,40.763290379000104,-86.362468225,57.2
IN,18017.0,40.763478766,-86.3620203199999,57.2
IN,18017.0,40.741696639000104,-86.400613865,57.2
IN,18127.0,41.553276759,-87.049681709,0.0
IN,18127.0,41.489690368000005,-87.05203310799999,0.0
IN,18127.0,41.546434997000105,-87.184331911,0.0
IN,18009.0,40.467946044,-85.37272252299991,56.5
IN,18137.0,39.3050248960001,-85.222526188,57.9
IN,18027.0,38.659613843,-87.159752398,54.0
IN,18103.0,40.7566462830001,-86.08240379799999,57.2
IN,18085.0,41.2483438150001,-85.8288442419999,57.3
IN,18085.0,41.2518273650001,-85.8310925759999,57.3
IN,18117.0,38.5683614380001,-86.47516371799999,59.8
IN,18081.0,39.615677874,-86.086413638,59.9
IN,18081.0,39.4796677410001,-86.07700060299999,59.9
IN,18081.0,39.629988800999996,-86.07559329700001,59.9
IN,18149.0,41.287568804,-86.621997285,53.4
IN,18083.0,38.673312929000105,-87.532093359,56.6
IN,18055.0,39.040742209,-87.130309914,58.8
IN,18051.0,38.360917273000005,-87.589832206,48.3
IN,18053.0,40.564232786,-85.6662408,59.4
IN,18053.0,40.5636952030001,-85.66416325899999,59.4
IN,18053.0,40.520461504000004,-85.638268405,59.4
IN,18069.0,40.9058777380001,-85.48874698299991,52.9
IN,18041.0,39.6562381750001,-85.1326609979999,0.0
IN,18181.0,40.733974689,-86.777599605,0.0
IN,18065.0,39.9433770090001,-85.362963153,56.1
IN,18021.0,39.529071161,-87.111811211,55.7
IN,18023.0,40.269550646,-86.51128070999991,59.4
IN,18169.0,40.806916615,-85.815870036,57.7
IN,18049.0,41.063964342000105,-86.19569205299999,58.7
IN,18071.0,38.955740442,-85.891833925,0.0
ID,16001.0,43.61343279500011,-116.25580809799999,59.8
ID,16001.0,43.61343279500011,-116.25580809799999,55.4
ID,16001.0,43.607072743000096,-116.26691725200001,59.8
ID,16001.0,43.607072743000096,-116.26691725200001,55.4
ID,16001.0,43.6155876500001,-116.191576461,59.8
ID,16001.0,43.6155876500001,-116.191576461,55.4
ID,16001.0,43.5996965160001,-116.35260829200001,59.8
ID,16001.0,43.5996965160001,-116.35260829200001,55.4
ID,16001.0,43.6125653840001,-116.192449186,59.8
ID,16001.0,43.6125653840001,-116.192449186,55.4
ID,16001.0,43.585946885000105,-116.358615699,59.8
ID,16001.0,43.585946885000105,-116.358615699,55.4
ID,16001.0,43.6889546020001,-116.35069339399999,59.8
ID,16001.0,43.6889546020001,-116.35069339399999,55.4
ID,16001.0,43.6271813210001,-116.28246282,59.8
ID,16001.0,43.6271813210001,-116.28246282,55.4
ID,16001.0,43.612619267000106,-116.290926014,59.8
ID,16001.0,43.612619267000106,-116.290926014,55.4
ID,16001.0,43.6212166460001,-116.190276702,59.8
ID,16001.0,43.6212166460001,-116.190276702,55.4
ID,16001.0,43.603349705,-116.264430818,59.8
ID,16001.0,43.603349705,-116.264430818,55.4
ID,16055.0,47.69550331600001,-116.79370267200001,0.0
ID,16055.0,47.713456930000106,-116.903865696,0.0
ID,16055.0,47.7154556780001,-116.924388547,0.0
ID,16055.0,47.7129429660001,-116.90200971600001,0.0
ID,16069.0,46.416439735,-117.024366109,56.3
ID,16023.0,43.639574812,-113.29523287200001,53.2
ID,16087.0,44.24872401,-116.96244125700001,54.7
ID,16011.0,43.18743022899999,-112.334714425,54.9
ID,16011.0,43.18743022899999,-112.334714425,58.9
ID,16011.0,43.193239723000005,-112.346831314,54.9
ID,16011.0,43.193239723000005,-112.346831314,58.9
ID,16011.0,43.196302089,-112.354169572,54.9
ID,16011.0,43.196302089,-112.354169572,58.9
ID,16005.0,42.8738530050001,-112.42076203200001,55.8
ID,16005.0,42.8738530050001,-112.42076203200001,56.9
ID,16005.0,42.868028085,-112.41638620299999,55.8
ID,16005.0,42.868028085,-112.41638620299999,56.9
MT,30013.0,47.489354518,-111.29135260700001,54.1
MT,30013.0,47.488810474,-111.298499867,54.1
MT,30013.0,47.491601163999995,-111.260967555,54.1
MT,30029.0,48.2151668340001,-114.32327327899999,59.2
MT,30029.0,48.213927728,-114.324019221,59.2
MT,30029.0,48.380276955000106,-114.331343824,59.2
MT,30023.0,46.1808180290001,-112.79086729299999,52.2
MT,30023.0,46.132692176000006,-112.956928711,52.2
FL,12033.0,30.4323569000001,-87.233155885,39.5
FL,12033.0,30.429417895,-87.230420903,39.5
FL,12033.0,30.478659088,-87.215686472,39.5
FL,12033.0,30.515680642000103,-87.217895142,39.5
FL,12033.0,30.475405688000002,-87.212337599,39.5
FL,12033.0,30.3985699510001,-87.298615689,39.5
FL,12033.0,30.471443271000098,-87.2526172239999,39.5
FL,12033.0,30.516340123000102,-87.21686302200001,39.5
FL,12033.0,30.970393835,-87.257597991,39.5
FL,12095.0,28.3767995850001,-81.273638956,48.4
FL,12095.0,28.567632892000102,-81.434244883,48.4
FL,12095.0,28.523618643000102,-81.37927042,48.4
FL,12095.0,28.409114054,-81.469593393,48.4
FL,12095.0,28.429061549,-81.47942212899991,48.4
FL,12095.0,28.574414350999998,-81.369996427,48.4
FL,12095.0,28.680891758,-81.50807586399999,48.4
FL,12095.0,28.539980254000103,-81.281540116,48.4
FL,12095.0,28.549662416,-81.5276599279999,48.4
FL,12095.0,28.613336045,-81.364760761,48.4
FL,12095.0,28.5722967250001,-81.37044179600001,48.4
FL,12095.0,28.4773875010001,-81.3701752269999,48.4
FL,12095.0,28.581805489,-81.1923045619999,48.4
FL,12095.0,28.5986447920001,-81.326911138,48.4
FL,12095.0,28.36614,-81.2757109999999,48.4
FL,12095.0,28.580359705,-81.3217761399999,48.4
FL,12095.0,28.5243398650001,-81.379153603,48.4
FL,12095.0,28.525723218000103,-81.37720355100001,48.4
FL,12099.0,26.529728045000102,-80.199767724,44.9
FL,12099.0,26.529728045000102,-80.199767724,46.5
FL,12099.0,26.437192841000098,-80.127787747,44.9
FL,12099.0,26.437192841000098,-80.127787747,46.5
FL,12099.0,26.5050572330001,-80.070563971,44.9
FL,12099.0,26.5050572330001,-80.070563971,46.5
FL,12099.0,26.7254617310001,-80.0518812669999,44.9
FL,12099.0,26.7254617310001,-80.0518812669999,46.5
FL,12099.0,26.5985861500001,-80.09116830399999,44.9
FL,12099.0,26.5985861500001,-80.09116830399999,46.5
FL,12099.0,26.761323589,-80.08787269300001,44.9
FL,12099.0,26.761323589,-80.08787269300001,46.5
FL,12099.0,26.7829789510001,-80.1104593429999,44.9
FL,12099.0,26.7829789510001,-80.1104593429999,46.5
FL,12099.0,26.7242715530001,-80.67111188,44.9
FL,12099.0,26.7242715530001,-80.67111188,46.5
FL,12099.0,26.8296139,-80.086569916,44.9
FL,12099.0,26.8296139,-80.086569916,46.5
FL,12099.0,26.68356565,-80.252905311,44.9
FL,12099.0,26.68356565,-80.252905311,46.5
FL,12099.0,26.609044081999997,-80.091450027,44.9
